Locatie,Time,Regiune,Nr. Inmatriculare,Caracteristica placii,Culoare placu?a,Acoperire caroserie vehicul,Tip,Culoare,Logo,Centura locului,Se apeleaza,Ornament,Imagine Panoramica,Lista de permisiuni (lista alba)/Lista cu persoanele blocate (lista neagra)
D7,02/09/2024 10:42,România,SV08STA,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-40-1-92542732446.jpg,SUV,Alb,Mitsubishi,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-40-0-0957873&E=VehicleAnalyse&I=775721.jpg,General
D7,02/09/2024 10:42,România,BC29BUT,Vehicle_20240902000000_20240902235959//0-778358-3-39-1-9232301875&E=VehicleAnalyse&I=775720.jpg,Necunoscut,Necunoscut,MPV,Alb,Renault,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-39-0-0927165&E=VehicleAnalyse&I=775720.jpg,General
D7,02/09/2024 10:42,România,SV96DMM,Vehicle_20240902000000_20240902235959//0-778358-3-38-1-9364282783&E=VehicleAnalyse&I=775719.jpg,Necunoscut,Necunoscut,Sedan,Alb,Volkswagen,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-38-0-0941271&E=VehicleAnalyse&I=775719.jpg,General
D7,02/09/2024 10:41,România,SV37MAA,Vehicle_20240902000000_20240902235959//0-778358-3-37-1-9023281491&E=VehicleAnalyse&I=775718.jpg,Necunoscut,Necunoscut,Sedan,Alb,Benz,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-37-0-0905879&E=VehicleAnalyse&I=775718.jpg,General
D7,02/09/2024 10:41,România,SV23YSM,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-36-1-92047239419.jpg,Sedan,Alb,Suzuki,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-36-0-0959891&E=VehicleAnalyse&I=775717.jpg,General
D7,02/09/2024 10:39,România,SV14RXW,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-35-1-92476740658.jpg,Sedan,Alb,Volkswagen,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-35-0-0965425&E=VehicleAnalyse&I=775716.jpg,General
D7,02/09/2024 10:39,România,SV09VGG,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-34-1-92519549293.jpg,Sedan,Alb,Lotus,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-34-0-0974488&E=VehicleAnalyse&I=775715.jpg,General
D7,02/09/2024 10:38,România,SV37SAX,Vehicle_20240902000000_20240902235959//0-778358-3-33-1-9237301337&E=VehicleAnalyse&I=775714.jpg,Necunoscut,Necunoscut,Sedan,Negru,Roewe,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-33-0-0927127&E=VehicleAnalyse&I=775714.jpg,General
D7,02/09/2024 10:38,România,SV09CSI,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-32-1-91202058062.jpg,Camioneta,Alb,Weiwang,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-32-0-0970082&E=VehicleAnalyse&I=775713.jpg,General
D7,02/09/2024 10:38,Necunoscut,B52JHR,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-31-1-90244548510.jpg,MPV,Alb,Volkswagen,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-31-0-0950955&E=VehicleAnalyse&I=775712.jpg,General
D7,02/09/2024 10:37,România,SV25AKA,Vehicle_20240902000000_20240902235959//0-778358-3-30-1-9277741791&E=VehicleAnalyse&I=775711.jpg,Necunoscut,Necunoscut,SUV,Negru,TOYOTA,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-30-0-0931625&E=VehicleAnalyse&I=775711.jpg,General
D7,02/09/2024 10:37,România,SV85COZ,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-29-1-92227457244.jpg,Autobuz mediu,Alb,Vad,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240902000000_20240902235959//0-778358-3-29-0-0979518&E=VehicleAnalyse&I=775710.jpg,General
